Turtle ID,Observation Date,Observation Town
ST2008-139,21-Dec-08,Barnstable
ST2008-58,23-Oct-08,Barnstable
ST2008-100,23-Nov-08,Brewster
ST2008-92,23-Nov-08,Brewster
ST2008-94,23-Nov-08,Brewster
ST2008-95,23-Nov-08,Brewster
ST2008-97,23-Nov-08,Brewster
ST2008-98,23-Nov-08,Brewster
ST2008-99,23-Nov-08,Brewster
ST2008-81,22-Nov-08,Brewster
ST2008-83,22-Nov-08,Brewster
ST2008-84,22-Nov-08,Brewster
ST2008-85,22-Nov-08,Brewster
ST2008-86,22-Nov-08,Brewster
ST2008-88,22-Nov-08,Brewster
ST2008-89,22-Nov-08,Brewster
ST2008-91,22-Nov-08,Brewster
ST2008-77,21-Nov-08,Brewster
ST2008-79,21-Nov-08,Brewster
ST2008-70,20-Nov-08,Brewster
ST2008-71,20-Nov-08,Brewster
ST2008-66,19-Nov-08,Brewster
ST2008-68,19-Nov-08,Brewster
ST2008-134,12-Dec-08,Dennis
ST2008-135,12-Dec-08,Dennis
ST2008-120,3-Dec-08,Dennis
ST2008-96,23-Nov-08,Dennis
ST2008-87,22-Nov-08,Dennis
ST2008-110,29-Nov-08,Eastham
ST2008-107,28-Nov-08,Eastham
ST2008-105,26-Nov-08,Eastham
ST2008-102,23-Nov-08,Eastham
ST2008-82,22-Nov-08,Eastham
ST2008-74,21-Nov-08,Eastham
ST2008-78,21-Nov-08,Eastham
ST2008-69,20-Nov-08,Eastham
ST2008-73,20-Nov-08,Eastham
ST2008-67,19-Nov-08,Eastham
ST2008-63,11-Nov-08,Eastham
ST2008-60,31-Oct-08,Eastham
ST2008-59,29-Oct-08,Eastham
ST2007-,6-Jan-08,Martha's Vineyard
ST2008-104,26-Nov-08,Orleans
ST2008-93,23-Nov-08,Orleans
ST2008-90,22-Nov-08,Orleans
ST2008-75,21-Nov-08,Orleans
ST2008-80,21-Nov-08,Orleans
ST2008-136,16-Dec-08,Provincetown
ST2008-131,7-Dec-08,Provincetown
ST2008-61,7-Nov-08,Provincetown
ST2008-137,16-Dec-08,Truro
ST2008-138,16-Dec-08,Truro
ST2008-132,11-Dec-08,Truro
ST2008-133,11-Dec-08,Truro
ST2008-129,5-Dec-08,Truro
ST2008-130,5-Dec-08,Truro
ST2008-122,4-Dec-08,Truro
ST2008-123,4-Dec-08,Truro
ST2008-124,4-Dec-08,Truro
ST2008-125,4-Dec-08,Truro
ST2008-127,4-Dec-08,Truro
ST2008-128,4-Dec-08,Truro
ST2008-119,3-Dec-08,Truro
ST2008-121,3-Dec-08,Truro
ST2008-118,2-Dec-08,Truro
ST2008-109,29-Nov-08,Truro
ST2008-111,29-Nov-08,Truro
ST2008-106,28-Nov-08,Truro
ST2008-101,23-Nov-08,Truro
ST2008-72,20-Nov-08,Truro
ST2008-65,17-Nov-08,Truro
ST2008-62,11-Nov-08,Truro
ST2008-141,27-Dec-08,Wellfleet
ST2008-140,26-Dec-08,Wellfleet
ST2008-126,4-Dec-08,Wellfleet
ST2008-115,2-Dec-08,Wellfleet
ST2008-116,2-Dec-08,Wellfleet
ST2008-117,2-Dec-08,Wellfleet
ST2008-112,29-Nov-08,Wellfleet
ST2008-113,29-Nov-08,Wellfleet
ST2008-114,29-Nov-08,Wellfleet
ST2008-108,28-Nov-08,Wellfleet
ST2008-103,25-Nov-08,Wellfleet
ST2008-76,21-Nov-08,Wellfleet
ST2008-64,12-Nov-08,Wellfleet
