Turtle ID,Observation Date,Observation Town
ST2009-160,7-Dec-09,Barnstable
ST2009-161,7-Dec-09,Barnstable
ST2009-162,7-Dec-09,Barnstable
ST2009-102,29-Nov-09,Barnstable
ST2009-83,28-Nov-09,Barnstable
ST2009-84,28-Nov-09,Barnstable
ST2009-85,28-Nov-09,Barnstable
ST2009-74,27-Nov-09,Barnstable
ST2009-75,27-Nov-09,Barnstable
ST2009-77,27-Nov-09,Barnstable
ST2009-78,27-Nov-09,Barnstable
ST2009-72,26-Nov-09,Barnstable
ST2009-69,25-Nov-09,Barnstable
ST2009-70,25-Nov-09,Barnstable
ST2009-67,24-Nov-09,Barnstable
ST2009-65,8-Nov-09,Barnstable
ST2009-76,27-Nov-09,Bourne
ST2009-234,14-Dec-09,Brewster
ST2009-182,9-Dec-09,Brewster
ST2009-183,9-Dec-09,Brewster
ST2009-176,8-Dec-09,Brewster
ST2009-177,8-Dec-09,Brewster
ST2009-178,8-Dec-09,Brewster
ST2009-179,8-Dec-09,Brewster
ST2009-155,7-Dec-09,Brewster
ST2009-157,7-Dec-09,Brewster
ST2009-158,7-Dec-09,Brewster
ST2009-139,6-Dec-09,Brewster
ST2009-141,6-Dec-09,Brewster
ST2009-142,6-Dec-09,Brewster
ST2009-143,6-Dec-09,Brewster
ST2009-144,6-Dec-09,Brewster
ST2009-145,6-Dec-09,Brewster
ST2009-147,6-Dec-09,Brewster
ST2009-148,6-Dec-09,Brewster
ST2009-149,6-Dec-09,Brewster
ST2009-150,6-Dec-09,Brewster
ST2009-151,6-Dec-09,Brewster
ST2009-153,6-Dec-09,Brewster
ST2009-129,4-Dec-09,Brewster
ST2009-123,3-Dec-09,Brewster
ST2009-117,2-Dec-09,Brewster
ST2009-120,2-Dec-09,Brewster
ST2009-109,1-Dec-09,Brewster
ST2009-110,1-Dec-09,Brewster
ST2009-111,1-Dec-09,Brewster
ST2009-100,29-Nov-09,Brewster
ST2009-105,29-Nov-09,Brewster
ST2009-93,29-Nov-09,Brewster
ST2009-94,29-Nov-09,Brewster
ST2009-95,29-Nov-09,Brewster
ST2009-87,28-Nov-09,Brewster
ST2009-92,28-Nov-09,Brewster
ST2009-181,8-Dec-09,Dennis
ST2009-156,7-Dec-09,Dennis
ST2009-164,7-Dec-09,Dennis
ST2009-165,7-Dec-09,Dennis
ST2009-166,7-Dec-09,Dennis
ST2009-167,7-Dec-09,Dennis
ST2009-169,7-Dec-09,Dennis
ST2009-175,7-Dec-09,Dennis
ST2009-136,6-Dec-09,Dennis
ST2009-137,6-Dec-09,Dennis
ST2009-138,6-Dec-09,Dennis
ST2009-140,6-Dec-09,Dennis
ST2009-152,6-Dec-09,Dennis
ST2009-154,6-Dec-09,Dennis
ST2009-121,2-Dec-09,Dennis
ST2009-113,1-Dec-09,Dennis
ST2009-97,29-Nov-09,Dennis
ST2009-81,28-Nov-09,Dennis
ST2009-82,28-Nov-09,Dennis
ST2009-86,28-Nov-09,Dennis
ST2009-88,28-Nov-09,Dennis
ST2009-79,27-Nov-09,Dennis
ST2009-73,26-Nov-09,Dennis
ST2009-61,17-Oct-09,Dennis
ST2009-238,15-Dec-09,Eastham
ST2009-235,14-Dec-09,Eastham
ST2009-236,14-Dec-09,Eastham
ST2009-237,14-Dec-09,Eastham
ST2009-196,11-Dec-09,Eastham
ST2009-197,11-Dec-09,Eastham
ST2009-198,11-Dec-09,Eastham
ST2009-199,11-Dec-09,Eastham
ST2009-213,11-Dec-09,Eastham
ST2009-214,11-Dec-09,Eastham
ST2009-215,11-Dec-09,Eastham
ST2009-216,11-Dec-09,Eastham
ST2009-217,11-Dec-09,Eastham
ST2009-195,10-Dec-09,Eastham
ST2009-174,8-Dec-09,Eastham
ST2009-159,7-Dec-09,Eastham
ST2009-168,7-Dec-09,Eastham
ST2009-172,7-Dec-09,Eastham
ST2009-132,5-Dec-09,Eastham
ST2009-118,2-Dec-09,Eastham
ST2009-112,1-Dec-09,Eastham
ST2009-114,1-Dec-09,Eastham
ST2009-115,1-Dec-09,Eastham
ST2009-116,1-Dec-09,Eastham
ST2009-106,30-Nov-09,Eastham
ST2009-107,30-Nov-09,Eastham
ST2009-101,29-Nov-09,Eastham
ST2009-96,29-Nov-09,Eastham
ST2009-98,29-Nov-09,Eastham
ST2009-80,28-Nov-09,Eastham
ST2009-171,7-Dec-09,Falmouth
ST2009-103,29-Nov-09,Falmouth
ST2009-64,6-Nov-09,Hull
