Turtle ID,Observation Date,Observation Town
ST2003-109,24-Nov-03,Barnstable
ST2003-135,4-Dec-03,Brewster
ST2003-136,4-Dec-03,Brewster
ST2003-132,3-Dec-03,Brewster
ST2003-104,22-Nov-03,Brewster
ST2003-105,22-Nov-03,Brewster
ST2003-100,21-Nov-03,Brewster
ST2003-83,16-Nov-03,Brewster
ST2003-84,16-Nov-03,Brewster
ST2003-86,16-Nov-03,Brewster
ST2003-92,16-Nov-03,Brewster
ST2003-93,16-Nov-03,Brewster
ST2003-57,10-Nov-03,Brewster
ST2003-56,9-Nov-03,Brewster
ST2003-54,28-Oct-03,Brewster
ST2003-142,18-Dec-03,Dennis
ST2003-140,16-Dec-03,Dennis
ST2003-137,5-Dec-03,Dennis
ST2003-138,5-Dec-03,Dennis
ST2003-133,4-Dec-03,Dennis
ST2003-108,24-Nov-03,Dennis
ST2003-101,21-Nov-03,Dennis
ST2003-102,21-Nov-03,Dennis
ST2003-129,2-Dec-03,Eastham
ST2003-119,30-Nov-03,Eastham
ST2003-126,30-Nov-03,Eastham
ST2003-103,22-Nov-03,Eastham
ST2003-85,16-Nov-03,Eastham
ST2003-94,16-Nov-03,Eastham
ST2003-66,15-Nov-03,Eastham
ST2003-68,15-Nov-03,Eastham
ST2003-69,15-Nov-03,Eastham
ST2003-70,15-Nov-03,Eastham
ST2003-73,15-Nov-03,Eastham
ST2003-74,15-Nov-03,Eastham
ST2003-75,15-Nov-03,Eastham
ST2003-78,15-Nov-03,Eastham
ST2003-59,14-Nov-03,Eastham
ST2003-60,14-Nov-03,Eastham
ST2003-61,14-Nov-03,Eastham
ST2003-62,14-Nov-03,Eastham
ST2003-63,14-Nov-03,Eastham
ST2003-64,14-Nov-03,Eastham
ST2003-65,14-Nov-03,Eastham
ST2003-53,25-Oct-03,Eastham
ST2003-141,16-Dec-03,Orleans
ST2003-107,24-Nov-03,Orleans
ST2003-98,17-Nov-03,Orleans
ST2003-79,16-Nov-03,Orleans
ST2003-80,16-Nov-03,Orleans
ST2003-81,16-Nov-03,Orleans
ST2003-82,16-Nov-03,Orleans
ST2003-95,16-Nov-03,Orleans
ST2003-96,16-Nov-03,Orleans
ST2003-77,15-Nov-03,Orleans
ST2003-51,25-Oct-03,Orleans
ST2003-52,25-Oct-03,Orleans
ST2003-50,24-Oct-03,Orleans
ST2003-55,5-Nov-03,Plymouth
ST2003-122,30-Nov-03,Provincetown
ST2003-123,30-Nov-03,Provincetown
ST2003-110,26-Nov-03,Provincetown
ST2003-71,15-Nov-03,Provincetown
ST2002-265,23-Dec-03,Sandwich
ST2003-139,11-Dec-03,Truro
ST2003-130,2-Dec-03,Truro
ST2003-131,2-Dec-03,Truro
ST2003-128,1-Dec-03,Truro
ST2003-112,30-Nov-03,Truro
ST2003-113,30-Nov-03,Truro
ST2003-114,30-Nov-03,Truro
ST2003-115,30-Nov-03,Truro
ST2003-116,30-Nov-03,Truro
ST2003-117,30-Nov-03,Truro
ST2003-118,30-Nov-03,Truro
ST2003-120,30-Nov-03,Truro
ST2003-121,30-Nov-03,Truro
ST2003-127,30-Nov-03,Truro
ST2003-97,16-Nov-03,Truro
ST2003-67,15-Nov-03,Truro
ST2003-58,11-Nov-03,Truro
ST2002-266,3-Jan-03,Truro
ST2003-134,4-Dec-03,Wellfleet
ST2003-124,30-Nov-03,Wellfleet
ST2003-125,30-Nov-03,Wellfleet
ST2003-111,29-Nov-03,Wellfleet
ST2003-106,23-Nov-03,Wellfleet
ST2003-99,17-Nov-03,Wellfleet
ST2003-88,16-Nov-03,Wellfleet
ST2003-89,16-Nov-03,Wellfleet
ST2003-90,16-Nov-03,Wellfleet
ST2003-91,16-Nov-03,Wellfleet
ST2003-72,15-Nov-03,Wellfleet
ST2003-76,15-Nov-03,Wellfleet
ST2002-267,2-Feb-03,Yarmouth Port
