Turtle ID,Observation Date,Observation Town
ST2011-166,20-Dec-11,Barnstable
ST2011-167,20-Dec-11,Barnstable
ST2011-157,19-Dec-11,Barnstable
ST2011-158,19-Dec-11,Barnstable
ST2011-159,19-Dec-11,Barnstable
ST2011-160,19-Dec-11,Barnstable
ST2011-161,19-Dec-11,Barnstable
ST2011-164,20-Dec-11,Bourne
ST2011-184,28-Dec-11,Brewster
ST2011-182,27-Dec-11,Brewster
ST2011-183,27-Dec-11,Brewster
ST2011-170,22-Dec-11,Brewster
ST2011-168,21-Dec-11,Brewster
ST2011-143,18-Dec-11,Brewster
ST2011-144,18-Dec-11,Brewster
ST2011-149,18-Dec-11,Brewster
ST2011-153,18-Dec-11,Brewster
ST2011-120,14-Dec-11,Brewster
ST2011-101,12-Dec-11,Brewster
ST2011-102,12-Dec-11,Brewster
ST2011-91,11-Dec-11,Brewster
ST2011-97,11-Dec-11,Brewster
ST2011-198,31-Dec-11,Dennis
ST2011-199,31-Dec-11,Dennis
ST2011-197,30-Dec-11,Dennis
ST2011-193,29-Dec-11,Dennis
ST2011-180,25-Dec-11,Dennis
ST2011-165,20-Dec-11,Dennis
ST2011-156,19-Dec-11,Dennis
ST2011-145,18-Dec-11,Dennis
ST2011-146,18-Dec-11,Dennis
ST2011-147,18-Dec-11,Dennis
ST2011-148,18-Dec-11,Dennis
ST2011-152,18-Dec-11,Dennis
ST2011-154,18-Dec-11,Dennis
ST2011-124,15-Dec-11,Dennis
ST2011-127,15-Dec-11,Dennis
ST2011-121,14-Dec-11,Dennis
ST2011-122,14-Dec-11,Dennis
ST2011-92,11-Dec-11,Dennis
ST2011-70,24-Nov-11,Dennis
ST2011-179,24-Dec-11,Eastham
ST2011-177,23-Dec-11,Eastham
ST2011-175,22-Dec-11,Eastham
ST2011-162,20-Dec-11,Eastham
ST2011-138,17-Dec-11,Eastham
ST2011-112,13-Dec-11,Eastham
ST2011-100,12-Dec-11,Eastham
ST2011-103,12-Dec-11,Eastham
ST2011-93,11-Dec-11,Eastham
ST2011-95,11-Dec-11,Eastham
ST2011-87,10-Dec-11,Eastham
ST2011-81,9-Dec-11,Eastham
ST2011-84,9-Dec-11,Eastham
ST2011-85,9-Dec-11,Eastham
ST2011-80,8-Dec-11,Eastham
ST2011-75,1-Dec-11,Eastham
ST2011-74,29-Nov-11,Eastham
ST2011-63,12-Nov-11,Eastham
ST2011-64,12-Nov-11,Eastham
ST2010-344,8-Jan-11,Eastham
ST2010-343,5-Jan-11,Eastham
ST2010-342,4-Jan-11,Eastham
ST2011-181,26-Dec-11,Falmouth
ST2011-142,17-Dec-11,Martha's Vineyard
ST2011-77,4-Dec-11,Martha's Vineyard
ST2011-176,22-Dec-11,Orleans
ST2011-96,11-Dec-11,Orleans
ST2011-130,16-Dec-11,Provincetown
ST2011-94,11-Dec-11,Provincetown
ST2011-76,1-Dec-11,Provincetown
ST2011-185,29-Dec-11,Sandwich
ST2011-125,15-Dec-11,Sandwich
ST2011-194,30-Dec-11,Truro
ST2011-195,30-Dec-11,Truro
ST2011-196,30-Dec-11,Truro
ST2011-192,29-Dec-11,Truro
ST2011-171,22-Dec-11,Truro
ST2011-172,22-Dec-11,Truro
ST2011-155,19-Dec-11,Truro
ST2011-135,17-Dec-11,Truro
ST2011-136,17-Dec-11,Truro
ST2011-137,17-Dec-11,Truro
ST2011-140,17-Dec-11,Truro
ST2011-129,16-Dec-11,Truro
ST2011-131,16-Dec-11,Truro
ST2011-132,16-Dec-11,Truro
ST2011-133,16-Dec-11,Truro
ST2011-106,13-Dec-11,Truro
ST2011-107,13-Dec-11,Truro
ST2011-109,13-Dec-11,Truro
ST2011-111,13-Dec-11,Truro
ST2011-113,13-Dec-11,Truro
ST2011-114,13-Dec-11,Truro
ST2011-115,13-Dec-11,Truro
ST2011-116,13-Dec-11,Truro
ST2011-118,13-Dec-11,Truro
ST2011-104,12-Dec-11,Truro
ST2011-105,12-Dec-11,Truro
ST2011-88,10-Dec-11,Truro
ST2011-90,10-Dec-11,Truro
ST2011-86,9-Dec-11,Truro
ST2011-79,7-Dec-11,Truro
ST2011-67,18-Nov-11,Truro
ST2011-186,29-Dec-11,Wellfleet
ST2011-187,29-Dec-11,Wellfleet
ST2011-188,29-Dec-11,Wellfleet
ST2011-189,29-Dec-11,Wellfleet
ST2011-191,29-Dec-11,Wellfleet
ST2011-178,24-Dec-11,Wellfleet
