Turtle ID,Observation Date,Observation Town
ST2011-169,22-Dec-11,Wellfleet
ST2011-173,22-Dec-11,Wellfleet
ST2011-174,22-Dec-11,Wellfleet
ST2011-163,20-Dec-11,Wellfleet
ST2011-150,18-Dec-11,Wellfleet
ST2011-151,18-Dec-11,Wellfleet
ST2011-139,17-Dec-11,Wellfleet
ST2011-141,17-Dec-11,Wellfleet
ST2011-128,16-Dec-11,Wellfleet
ST2011-134,16-Dec-11,Wellfleet
ST2011-126,15-Dec-11,Wellfleet
ST2011-123,14-Dec-11,Wellfleet
ST2011-108,13-Dec-11,Wellfleet
ST2011-110,13-Dec-11,Wellfleet
ST2011-117,13-Dec-11,Wellfleet
ST2011-119,13-Dec-11,Wellfleet
ST2011-99,12-Dec-11,Wellfleet
ST2011-98,11-Dec-11,Wellfleet
ST2011-89,10-Dec-11,Wellfleet
ST2011-82,9-Dec-11,Wellfleet
ST2011-83,9-Dec-11,Wellfleet
ST2011-72,26-Nov-11,Wellfleet
ST2011-71,25-Nov-11,Wellfleet
ST2011-69,23-Nov-11,Wellfleet
ST2011-65,13-Nov-11,Wellfleet
ST2011-62,7-Nov-11,Wellfleet
ST2011-68,19-Nov-11,Weymouth
ST2011-60,30-Oct-11,
