Turtle ID,Observation Date,Observation Town
ST2005-114,11-Dec-05,Brewster
ST2005-85,12-Nov-05,Brewster
ST2005-86,12-Nov-05,Brewster
ST2005-71,31-Oct-05,Brewster
ST2005-73,31-Oct-05,Brewster
ST2005-76,31-Oct-05,Brewster
ST2005-65,29-Oct-05,Brewster
ST2005-108,30-Nov-05,Chatham
ST2005-117,13-Dec-05,Dennis
ST2005-112,8-Dec-05,Dennis
ST2005-113,8-Dec-05,Dennis
ST2005-78.1,7-Nov-05,Dennis
ST2005-78,3-Nov-05,Dennis
ST2005-72,31-Oct-05,Dennis
ST2005-75,31-Oct-05,Dennis
ST2005-66,30-Oct-05,Dennis
ST2005-67,30-Oct-05,Dennis
ST2005-68,30-Oct-05,Dennis
ST2005-69,30-Oct-05,Dennis
ST2005-70,30-Oct-05,Dennis
ST2005-116,13-Dec-05,Eastham
ST2005-109,4-Dec-05,Eastham
ST2005-110,4-Dec-05,Eastham
ST2005-104,26-Nov-05,Eastham
ST2005-106,26-Nov-05,Eastham
ST2005-100,25-Nov-05,Eastham
ST2005-101,25-Nov-05,Eastham
ST2005-102,25-Nov-05,Eastham
ST2005-103,25-Nov-05,Eastham
ST2005-97,25-Nov-05,Eastham
ST2005-96,23-Nov-05,Eastham
ST2005-94,21-Nov-05,Eastham
ST2005-89,18-Nov-05,Eastham
ST2005-84,12-Nov-05,Eastham
ST2005-82,11-Nov-05,Eastham
ST2005-77,3-Nov-05,Eastham
ST2005-81,11-Nov-05,Orleans
ST2005-99,25-Nov-05,Truro
ST2005-107,23-Nov-05,Truro
ST2005-95,22-Nov-05,Truro
ST2005-88,15-Nov-05,Truro
ST2004-163,10-Jan-05,Truro
ST2005-115,12-Dec-05,Wellfleet
ST2005-111,6-Dec-05,Wellfleet
ST2005-105,26-Nov-05,Wellfleet
ST2005-98,25-Nov-05,Wellfleet
ST2005-92,21-Nov-05,Wellfleet
ST2005-93,21-Nov-05,Wellfleet
ST2005-91,19-Nov-05,Wellfleet
ST2005-90,18-Nov-05,Wellfleet
ST2005-87,12-Nov-05,Wellfleet
ST2005-79,11-Nov-05,Wellfleet
ST2005-80,11-Nov-05,Wellfleet
ST2005-83,11-Nov-05,Wellfleet
ST2005-74,31-Oct-05,Wellfleet
