ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
115430683,-69.734275855295508,42.737415026090055,0.97,0.06
115430683,-69.686810028374722,42.72324696787468,1.69,0.10
115430683,-69.636176819159218,42.665107551354104,8.93,0.37
115430683,-69.696030861698304,42.595883900525493,4.44,0.31
115430683,-69.379125663131418,42.665456259743827,1.52,0.06
115430683,-69.280250312202995,42.623446064539777,8.70,0.21
115430683,-69.334730639582915,42.612557896041025,12.51,0.43
115430683,-69.328171726945982,42.663348199450411,3.24,0.10
115430683,-69.316149839092262,42.651165228614907,14.11,0.53
115430683,-68.869908584334752,42.717744221115311,19.24,0.66
115430683,-68.675675112144205,42.613662363121691,1.51,0.06
115430683,-68.7694419008144,42.601824393619147,14.55,0.67
115430684,-69.969893408020283,42.281043287582726,16.93,0.47
115430684,-69.676625974577064,42.272189653852038,17.04,0.56
115430684,-69.33939925868907,42.265989102892554,11.93,0.39
115430684,-69.198262285307052,42.309010240298882,3.97,0.17
115430684,-69.179683166908021,42.342384401224834,18.39,0.60
115430684,-68.942008779743389,42.471833807146254,7.21,0.24
115430684,-68.846040146639041,42.442320001200613,6.52,0.23
115430684,-68.744216943363341,42.41018707575067,4.56,0.16
115430684,-68.819320754763993,42.353580745208838,2.97,0.22
115430684,-68.798235607736643,42.351542569226162,10.82,0.64
115430684,-68.739848653327044,42.383873700839935,3.78,0.25
115430684,-68.67422320386062,42.376577918207381,15.30,0.60
115430684,-68.732904129228871,42.513687376284693,2.56,0.12
115430684,-68.870896301151589,42.399481872496878,7.26,0.27
115430684,-68.925046254724563,42.291622679529709,5.60,0.19
115430684,-68.819315984740641,42.272166869530238,6.16,0.25
115430684,-68.681328186620021,42.266613679794155,8.87,0.31
115430684,-68.348321400658918,42.291533747961225,1.87,0.05
115430684,-68.279636818877336,42.273371707792002,7.62,0.17
115430684,-68.210847880118507,42.346499692699382,2.21,0.06
115430684,-68.168420925116422,42.488946920911992,8.11,0.33
115430684,-68.200578580193735,42.523628715463957,10.42,0.31
115430684,-68.056105379624682,42.503194419625117,11.53,0.51
115430684,-67.931920006195668,42.481626355019863,9.55,0.30
115430684,-67.815625206614243,42.468364684908515,18.84,0.53
115430684,-67.597965956012132,42.48324584461961,17.66,0.56
115430684,-67.116314331546079,42.318373230355284,19.98,0.45
115430684,-66.841471742152322,42.322741707791884,15.25,0.54
115430684,-66.616045484289401,42.401695318943716,17.71,0.51
115430684,-66.591614801842184,42.549375953255058,11.88,0.22
115430684,-66.481900938595714,42.600622895807795,5.33,0.07
115430684,-66.473379421968446,42.678502475990832,22.97,0.41
115430684,-66.335203738069794,42.875802340878593,11.68,0.24
115430684,-66.253099148986351,42.728091535907495,24.94,0.72
115430684,-66.210482753793087,42.690808134138742,17.49,0.30
115430684,-66.103516188879937,42.722911201530579,13.68,0.30
115430684,-65.970746043391529,42.765285211546313,17.79,0.39
115430684,-65.821308128543592,42.927036783701105,5.50,0.13
115430684,-65.748399333672836,42.936977766900519,8.69,0.25
115430684,-65.735476061821188,42.844329914170977,17.08,0.54
115430684,-65.891955940778288,42.903494624594231,30.94,0.68
115430684,-66.146198462130442,42.929602496913908,16.26,0.37
115430684,-66.171957845659009,42.972046400747061,15.90,0.32
115430684,-66.480067685769228,42.912331973177189,13.42,0.36
115430684,-66.655986841666802,42.915585950670987,16.89,0.41
115430686,-69.331770498247423,42.247717826491517,12.05,0.60
115430686,-69.276433800892391,42.17561730297485,14.55,0.54
115430686,-68.801390848794185,42.150316821522409,7.30,0.14
115430686,-68.719511949260934,42.113828865590072,10.62,0.25
115430686,-68.725541494920662,42.181320232382419,13.04,0.32
