Turtle ID,Observation Date,Observation Town
ST2002-260,15-Dec-02,Barnstable
ST2002-224,1-Dec-02,Barnstable
ST2002-113,10-Nov-02,Barnstable
ST2002-113,10-Nov-02,Barnstable
ST2002-264,28-Dec-02,Brewster
ST2002-262,17-Dec-02,Brewster
ST2002-257,10-Dec-02,Brewster
ST2002-250,4-Dec-02,Brewster
ST2002-251,4-Dec-02,Brewster
ST2002-244,3-Dec-02,Brewster
ST2002-245,3-Dec-02,Brewster
ST2002-247,3-Dec-02,Brewster
ST2002-248,3-Dec-02,Brewster
ST2002-217,30-Nov-02,Brewster
ST2002-187,29-Nov-02,Brewster
ST2002-164,28-Nov-02,Brewster
ST2002-165,28-Nov-02,Brewster
ST2002-168,28-Nov-02,Brewster
ST2002-172,28-Nov-02,Brewster
ST2002-163,27-Nov-02,Brewster
ST2002-106,9-Nov-02,Brewster
ST2002-106,9-Nov-02,Brewster
ST2002-107,9-Nov-02,Brewster
ST2002-107,9-Nov-02,Brewster
ST2002-110,9-Nov-02,Brewster
ST2002-110,9-Nov-02,Brewster
ST2002-101,8-Nov-02,Brewster
ST2002-101,8-Nov-02,Brewster
ST2002-102,8-Nov-02,Brewster
ST2002-102,8-Nov-02,Brewster
ST2002-105,8-Nov-02,Brewster
ST2002-105,8-Nov-02,Brewster
ST2002-93,8-Nov-02,Brewster
ST2002-93,8-Nov-02,Brewster
ST2002-94,8-Nov-02,Brewster
ST2002-94,8-Nov-02,Brewster
ST2002-95,8-Nov-02,Brewster
ST2002-95,8-Nov-02,Brewster
ST2002-82,7-Nov-02,Brewster
ST2002-82,7-Nov-02,Brewster
ST2002-83,7-Nov-02,Brewster
ST2002-83,7-Nov-02,Brewster
ST2002-84,7-Nov-02,Brewster
ST2002-84,7-Nov-02,Brewster
ST2002-86,7-Nov-02,Brewster
ST2002-92,7-Nov-02,Brewster
ST2002-96,7-Nov-02,Brewster
ST2002-96,7-Nov-02,Brewster
ST2002-98,7-Nov-02,Brewster
ST2002-98,7-Nov-02,Brewster
ST2002-81,6-Nov-02,Brewster
ST2002-81,6-Nov-02,Brewster
ST2002-80,5-Nov-02,Brewster
ST2002-80,5-Nov-02,Brewster
ST2002-77,3-Nov-02,Brewster
ST2002-77,3-Nov-02,Brewster
ST2002-67,2-Nov-02,Brewster
ST2002-69,2-Nov-02,Brewster
ST2002-71,2-Nov-02,Brewster
ST2002-72,2-Nov-02,Brewster
ST2002-73,2-Nov-02,Brewster
ST2002-263,19-Dec-02,Dennis
ST2002-258,12-Dec-02,Dennis
ST2002-255,8-Dec-02,Dennis
ST2002-252,4-Dec-02,Dennis
ST2002-223,1-Dec-02,Dennis
ST2002-204,30-Nov-02,Dennis
ST2002-212,30-Nov-02,Dennis
ST2002-176,29-Nov-02,Dennis
ST2002-177,29-Nov-02,Dennis
ST2002-178,29-Nov-02,Dennis
ST2002-179,29-Nov-02,Dennis
ST2002-182,29-Nov-02,Dennis
ST2002-183,29-Nov-02,Dennis
ST2002-186,29-Nov-02,Dennis
ST2002-188,29-Nov-02,Dennis
ST2002-167,28-Nov-02,Dennis
ST2002-169,28-Nov-02,Dennis
ST2002-170,28-Nov-02,Dennis
ST2002-173,28-Nov-02,Dennis
ST2002-162,27-Nov-02,Dennis
ST2002-115,16-Nov-02,Dennis
ST2002-108,9-Nov-02,Dennis
ST2002-108,9-Nov-02,Dennis
ST2002-111,9-Nov-02,Dennis
ST2002-111,9-Nov-02,Dennis
ST2002-103,8-Nov-02,Dennis
ST2002-103,8-Nov-02,Dennis
ST2002-99,8-Nov-02,Dennis
ST2012-99,8-Nov-02,Dennis
ST2002-87,7-Nov-02,Dennis
ST2002-88,7-Nov-02,Dennis
ST2002-88,7-Nov-02,Dennis
ST2002-89,7-Nov-02,Dennis
ST2002-90,7-Nov-02,Dennis
ST2002-90,7-Nov-02,Dennis
ST2002-91,7-Nov-02,Dennis
ST2002-97,7-Nov-02,Dennis
ST2002-97,7-Nov-02,Dennis
ST2002-78,5-Nov-02,Dennis
ST2002-78,5-Nov-02,Dennis
ST2002-75,3-Nov-02,Dennis
ST2002-68,2-Nov-02,Dennis
ST2002-70,2-Nov-02,Dennis
ST2002-259,13-Dec-02,Eastham
ST2002-256,8-Dec-02,Eastham
ST2002-237,2-Dec-02,Eastham
ST2002-225,1-Dec-02,Eastham
ST2002-227,1-Dec-02,Eastham
ST2002-236,1-Dec-02,Eastham
ST2002-202,30-Nov-02,Eastham
ST2002-220,30-Nov-02,Eastham
ST2002-159,29-Nov-02,Eastham
ST2002-160,29-Nov-02,Eastham
ST2002-161,29-Nov-02,Eastham
ST2002-185,29-Nov-02,Eastham
ST2002-190,29-Nov-02,Eastham
ST2002-191,29-Nov-02,Eastham
ST2002-192,29-Nov-02,Eastham
ST2002-193,29-Nov-02,Eastham
ST2002-194,29-Nov-02,Eastham
ST2002-195,29-Nov-02,Eastham
ST2002-156,26-Nov-02,Eastham
ST2002-148,25-Nov-02,Eastham
ST2002-149,25-Nov-02,Eastham
ST2002-150,25-Nov-02,Eastham
ST2002-151,25-Nov-02,Eastham
ST2002-120,24-Nov-02,Eastham
ST2002-120,24-Nov-02,Eastham
ST2002-121,24-Nov-02,Eastham
ST2002-121,24-Nov-02,Eastham
ST2002-122,24-Nov-02,Eastham
ST2002-122,24-Nov-02,Eastham
ST2002-124,24-Nov-02,Eastham
ST2002-124,24-Nov-02,Eastham
ST2002-125,24-Nov-02,Eastham
ST2002-125,24-Nov-02,Eastham
ST2002-133,24-Nov-02,Eastham
ST2002-133,24-Nov-02,Eastham
ST2002-134,24-Nov-02,Eastham
ST2002-134,24-Nov-02,Eastham
ST2002-116,18-Nov-02,Eastham
ST2002-116,18-Nov-02,Eastham
ST2002-114,10-Nov-02,Eastham
ST2002-109,9-Nov-02,Eastham
ST2002-109,9-Nov-02,Eastham
ST2002-100,8-Nov-02,Eastham
ST2002-100,8-Nov-02,Eastham
ST2002-79,5-Nov-02,Eastham
ST2002-74,2-Nov-02,Eastham
ST2001-137,16-Jan-02,Eastham
ST2002-249,3-Dec-02,Orleans
ST2002-184,29-Nov-02,Orleans
ST2002-166,28-Nov-02,Orleans
ST2002-147,25-Nov-02,Orleans
ST2002-123,24-Nov-02,Orleans
ST2002-123,24-Nov-02,Orleans
ST2002-104,8-Nov-02,Orleans
ST2002-104,8-Nov-02,Orleans
ST2002-85,7-Nov-02,Orleans
ST2002-85,7-Nov-02,Orleans
ST2002-76,3-Nov-02,Orleans
ST2002-76,3-Nov-02,Orleans
ST2002-216,30-Nov-02,Provincetown
ST2002-132,24-Dec-02,Truro
ST2002-261,15-Dec-02,Truro
ST2002-254,8-Dec-02,Truro
ST2002-253,5-Dec-02,Truro
ST2002-238,2-Dec-02,Truro
ST2002-239,2-Dec-02,Truro
ST2002-240,2-Dec-02,Truro
ST2002-241,2-Dec-02,Truro
ST2002-226,1-Dec-02,Truro
ST2002-229,1-Dec-02,Truro
ST2002-230,1-Dec-02,Truro
ST2002-233,1-Dec-02,Truro
ST2002-234,1-Dec-02,Truro
ST2002-201,30-Nov-02,Truro
ST2002-205,30-Nov-02,Truro
ST2002-206,30-Nov-02,Truro
ST2002-207,30-Nov-02,Truro
ST2002-208,30-Nov-02,Truro
ST2002-209,30-Nov-02,Truro
ST2002-210,30-Nov-02,Truro
ST2002-218,30-Nov-02,Truro
ST2002-219,30-Nov-02,Truro
ST2002-181,29-Nov-02,Truro
ST2002-189,29-Nov-02,Truro
ST2002-198,29-Nov-02,Truro
ST2002-200,29-Nov-02,Truro
ST2002-154,26-Nov-02,Truro
ST2002-155,26-Nov-02,Truro
ST2002-145,25-Nov-02,Truro
ST2002-146,25-Nov-02,Truro
ST2002-153,25-Nov-02,Truro
ST2002-126,24-Nov-02,Truro
ST2002-126,24-Nov-02,Truro
ST2002-127,24-Nov-02,Truro
ST2002-127,24-Nov-02,Truro
ST2002-128,24-Nov-02,Truro
ST2002-128,24-Nov-02,Truro
ST2002-129,24-Nov-02,Truro
ST2002-131,24-Nov-02,Truro
ST2002-132,24-Nov-02,Truro
ST2002-135,24-Nov-02,Truro
ST2002-135,24-Nov-02,Truro
ST2002-136,24-Nov-02,Truro
ST2002-136,24-Nov-02,Truro
ST2002-137,24-Nov-02,Truro
ST2002-137,24-Nov-02,Truro
ST2002-138,24-Nov-02,Truro
ST2002-138,24-Nov-02,Truro
ST2002-139,24-Nov-02,Truro
ST2002-139,24-Nov-02,Truro
ST2002-140,24-Nov-02,Truro
ST2002-140,24-Nov-02,Truro
ST2002-143,24-Nov-02,Truro
ST2002-144,24-Nov-02,Truro
ST2002-119,23-Nov-02,Truro
ST2002-119,23-Nov-02,Truro
ST2002-117,19-Nov-02,Truro
ST2002-117,19-Nov-02,Truro
ST2002-246,3-Dec-02,Wellfleet
ST2002-242,2-Dec-02,Wellfleet
ST2002-243,2-Dec-02,Wellfleet
ST2002-228,1-Dec-02,Wellfleet
ST2002-231,1-Dec-02,Wellfleet
ST2002-232,1-Dec-02,Wellfleet
ST2002-235,1-Dec-02,Wellfleet
ST2002-203,30-Nov-02,Wellfleet
ST2002-211,30-Nov-02,Wellfleet
ST2002-213,30-Nov-02,Wellfleet
ST2002-214,30-Nov-02,Wellfleet
ST2002-215,30-Nov-02,Wellfleet
ST2002-221,30-Nov-02,Wellfleet
ST2002-222,30-Nov-02,Wellfleet
ST2002-174,29-Nov-02,Wellfleet
ST2002-175,29-Nov-02,Wellfleet
