ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
1404107011.0,-70.570988306433961,41.985584952148237,19.87,0.50
140410706.0,-70.139340840653873,41.860318864301171,12.36,0.22
140420691.0,-70.084901068335242,42.241613686928673,40.17,0.40
140430701.0,-70.280497890030517,43.240938301152241,41.45,0.59
140430701.0,-70.740800335353924,42.749687277917118,20.33,0.39
140430701.0,-70.349647578970973,42.503753639346151,20.47,0.69
140430701.0,-70.263722521837124,42.465078292429695,10.18,0.15
140430701.0,-69.908446584595325,42.092194609738115,7.40,0.08
140430701.0,-69.807806226111396,41.659119186406997,62.27,0.40
140430701.0,-69.893864841335102,41.299956061195736,49.57,0.26
145430691.0,-70.268295258436183,43.248583673614839,31.23,0.50
145430691.0,-70.621279094104551,42.940088300372949,58.69,0.69
145430691.0,-70.67302297186751,42.415707755374221,6.53,0.10
145430691.0,-70.701051454198364,42.382207275049112,8.64,0.15
145430691.0,-70.603108581707218,42.24370110215191,38.67,0.81
146420706.0,-68.518528118407545,43.916139665906194,18.93,0.32
146420706.0,-68.47947071238508,43.636234471775651,17.12,0.21
146420706.0,-67.581281612465901,43.638308542839269,30.98,0.31
146420706.0,-67.105969751182712,43.575844676780648,27.11,0.28
146420706.0,-67.122548407376669,43.623935574760921,52.81,0.50
146420706.0,-67.112091012211579,43.347222201387638,19.21,0.18
146420706.0,-67.061787793866259,43.325503088228579,20.52,0.33
146420706.0,-67.050251751620522,43.304091639804547,10.25,0.15
146420706.0,-67.180955390592345,43.297485608038286,26.75,0.39
146420706.0,-67.26293825494524,43.315427970338249,26.12,0.26
146420706.0,-66.992036999658211,43.353352444621223,20.50,0.27
146420706.0,-66.951851590162292,43.571220229322762,26.43,0.23
146420706.0,-66.651430562663307,43.737197116099807,6.67,0.08
146420706.0,-66.747528042470847,43.680302780477724,22.85,0.23
146420706.0,-66.944934258140748,43.54202943583099,31.73,0.33
146420706.0,-66.57291013740425,43.433153071965869,35.66,0.33
146420706.0,-66.368500967341717,43.476637990017558,17.69,0.11
146420706.0,-66.098418656414523,43.39096500977417,45.98,0.25
146420706.0,-66.378773793405557,43.901248283780959,19.57,0.10
146420706.0,-66.441445664859927,44.023833219287987,30.23,0.16
146430701.0,-70.446845099676594,43.172937806079695,49.21,0.67
146430703.0,-70.37988683655702,42.98866751981793,22.85,0.36
146430703.0,-69.985975909182329,42.674543849370188,33.87,0.58
146430703.0,-69.756488398157316,42.880700809069474,52.46,0.71
146430703.0,-69.587658417372268,42.835320033145734,22.46,0.30
146430703.0,-69.312392924235041,42.718892546579873,11.02,0.17
146430703.0,-69.310024714769156,42.72701359356752,21.28,0.23
146430703.0,-69.001807957264589,42.884095937456749,11.32,0.12
146430703.0,-69.00441088692115,42.788766480897998,9.17,0.08
146430703.0,-68.746619053130217,42.695644020837079,28.55,0.47
147420701.0,-70.30016708283425,42.143832563373579,37.13,0.39
147420701.0,-69.719671388728528,42.266230040451781,11.08,0.17
147420701.0,-69.39226202263454,42.284658057982902,17.30,0.24
147420701.0,-69.231004060221935,42.31414795784945,6.00,0.11
147420702.0,-70.299894493935994,42.142754911251849,36.20,0.38
147420702.0,-69.735591742074405,42.2447969705443,9.37,0.13
