Turtle ID,Observation Date,Observation Town
ST2001-122,18-Dec-01,Barnstable
ST2001-113,16-Dec-01,Barnstable
ST2001-94,15-Dec-01,Barnstable
ST2001-92,12-Dec-01,Barnstable
ST2001-88,10-Dec-01,Barnstable
ST2001-89,10-Dec-01,Barnstable
ST2001-85,9-Dec-01,Barnstable
ST2001-132,22-Dec-01,Brewster
ST2001-128,20-Dec-01,Brewster
ST2001-120,19-Dec-01,Brewster
ST2001-121,19-Dec-01,Brewster
ST2001-114,17-Dec-01,Brewster
ST2001-116,17-Dec-01,Brewster
ST2001-117,17-Dec-01,Brewster
ST2001-118,17-Dec-01,Brewster
ST2001-119,17-Dec-01,Brewster
ST2001-104,16-Dec-01,Brewster
ST2001-105,16-Dec-01,Brewster
ST2001-109,16-Dec-01,Brewster
ST2001-110,16-Dec-01,Brewster
ST2001-95,16-Dec-01,Brewster
ST2001-96,16-Dec-01,Brewster
ST2001-97,16-Dec-01,Brewster
ST2001-98,16-Dec-01,Brewster
ST2001-87,9-Dec-01,Brewster
ST2001-78,3-Dec-01,Brewster
ST2001-71,21-Nov-01,Brewster
ST2001-64,16-Nov-01,Brewster
ST2001-60,14-Nov-01,Brewster
ST2001-62,14-Nov-01,Brewster
ST2001-51,13-Nov-01,Brewster
ST2001-52,13-Nov-01,Brewster
ST2001-53,13-Nov-01,Brewster
ST2001-54,13-Nov-01,Brewster
ST2001-55,13-Nov-01,Brewster
ST2001-56,13-Nov-01,Brewster
ST2001-57,13-Nov-01,Brewster
ST2001-58,13-Nov-01,Brewster
ST2001-59,13-Nov-01,Brewster
ST2001-47,12-Nov-01,Brewster
ST2001-48,12-Nov-01,Brewster
ST2001-49,12-Nov-01,Brewster
ST2001-42,7-Nov-01,Brewster
ST2001-127,20-Dec-01,Dennis
ST2001-129,20-Dec-01,Dennis
ST2001-130,20-Dec-01,Dennis
ST2001-123,19-Dec-01,Dennis
ST2001-124,19-Dec-01,Dennis
ST2001-126,19-Dec-01,Dennis
ST2001-115,17-Dec-01,Dennis
ST2001-100,16-Dec-01,Dennis
ST2001-101,16-Dec-01,Dennis
ST2001-102,16-Dec-01,Dennis
ST2001-103,16-Dec-01,Dennis
ST2001-106,16-Dec-01,Dennis
ST2001-108,16-Dec-01,Dennis
ST2001-111,16-Dec-01,Dennis
ST2001-112,16-Dec-01,Dennis
ST2001-99,16-Dec-01,Dennis
ST2001-90,10-Dec-01,Dennis
ST2001-86,9-Dec-01,Dennis
ST2001-134,29-Dec-01,Eastham
ST2001-125,19-Dec-01,Eastham
ST2001-107,16-Dec-01,Eastham
ST2001-81,5-Dec-01,Eastham
ST2001-80,4-Dec-01,Eastham
ST2001-74,22-Nov-01,Eastham
ST2001-68,21-Nov-01,Eastham
ST2001-69,21-Nov-01,Eastham
ST2001-70,21-Nov-01,Eastham
ST2001-66,20-Nov-01,Eastham
ST2001-65,16-Nov-01,Eastham
ST2001-61,14-Nov-01,Eastham
ST2001-46,12-Nov-01,Eastham
ST2001-43,7-Nov-01,Eastham
ST2001-131,21-Dec-01,Orleans
ST2001-73,21-Nov-01,Orleans
ST2001-50,13-Nov-01,Orleans
ST2001-45,12-Nov-01,Orleans
ST2001-93,12-Dec-01,Truro
ST2001-84,8-Dec-01,Truro
ST2001-83,7-Dec-01,Truro
ST2001-77,3-Dec-01,Truro
ST2001-76,2-Dec-01,Truro
ST2001-72,21-Nov-01,Truro
ST2001-67,20-Nov-01,Truro
ST2001-44,10-Nov-01,Truro
ST2001-133,25-Dec-01,Wellfleet
ST2001-91,10-Dec-01,Wellfleet
ST2001-82,5-Dec-01,Wellfleet
ST2001-79,4-Dec-01,Wellfleet
ST2001-75,2-Dec-01,Wellfleet
ST2001-63,15-Nov-01,Wellfleet
ST2001-135,24-Dec-01,Yarmouth Port
