Turtle ID,Observation Date,Observation Town
ST2010-341,30-Dec-10,Barnstable
ST2010-272,4-Dec-10,Barnstable
ST2010-199,27-Nov-10,Barnstable
ST2010-186,26-Nov-10,Barnstable
ST2010-173,25-Nov-10,Barnstable
ST2010-153,21-Nov-10,Barnstable
ST2010-131,13-Nov-10,Barnstable
ST2010-134,13-Nov-10,Barnstable
ST2010-124,12-Nov-10,Barnstable
ST2010-125,12-Nov-10,Barnstable
ST2010-126,12-Nov-10,Barnstable
ST2010-127,12-Nov-10,Barnstable
ST2010-129,12-Nov-10,Barnstable
ST2010-130,12-Nov-10,Barnstable
ST2010-119,11-Nov-10,Barnstable
ST2010-120,11-Nov-10,Barnstable
ST2010-245,29-Nov-10,Bourne
ST2010-218,28-Nov-10,Bourne
ST2010-138,16-Nov-10,Bourne
ST2010-339,22-Dec-10,Brewster
ST2010-337,18-Dec-10,Brewster
ST2010-333,17-Dec-10,Brewster
ST2010-332,16-Dec-10,Brewster
ST2010-318,11-Dec-10,Brewster
ST2010-321,11-Dec-10,Brewster
ST2010-312,10-Dec-10,Brewster
ST2010-301,9-Dec-10,Brewster
ST2010-304,9-Dec-10,Brewster
ST2010-307,9-Dec-10,Brewster
ST2010-308,9-Dec-10,Brewster
ST2010-309,9-Dec-10,Brewster
ST2010-298,8-Dec-10,Brewster
ST2010-300,8-Dec-10,Brewster
ST2010-291,7-Dec-10,Brewster
ST2010-277,5-Dec-10,Brewster
ST2010-263,4-Dec-10,Brewster
ST2010-265,4-Dec-10,Brewster
ST2010-270,4-Dec-10,Brewster
ST2010-255,3-Dec-10,Brewster
ST2010-257,3-Dec-10,Brewster
ST2010-258,3-Dec-10,Brewster
ST2010-237,29-Nov-10,Brewster
ST2010-238,29-Nov-10,Brewster
ST2010-243,29-Nov-10,Brewster
ST2010-244,29-Nov-10,Brewster
ST2010-206,28-Nov-10,Brewster
ST2010-208,28-Nov-10,Brewster
ST2010-209,28-Nov-10,Brewster
ST2010-210,28-Nov-10,Brewster
ST2010-211,28-Nov-10,Brewster
ST2010-219,28-Nov-10,Brewster
ST2010-223,28-Nov-10,Brewster
ST2010-224,28-Nov-10,Brewster
ST2010-225,28-Nov-10,Brewster
ST2010-226,28-Nov-10,Brewster
ST2010-227,28-Nov-10,Brewster
ST2010-228,28-Nov-10,Brewster
ST2010-232,28-Nov-10,Brewster
ST2010-233,28-Nov-10,Brewster
ST2010-193,27-Nov-10,Brewster
ST2010-194,27-Nov-10,Brewster
ST2010-196,27-Nov-10,Brewster
ST2010-188,26-Nov-10,Brewster
ST2010-161,25-Nov-10,Brewster
ST2010-162,25-Nov-10,Brewster
ST2010-163,25-Nov-10,Brewster
ST2010-164,25-Nov-10,Brewster
ST2010-165,25-Nov-10,Brewster
ST2010-166,25-Nov-10,Brewster
ST2010-167,25-Nov-10,Brewster
ST2010-170,25-Nov-10,Brewster
ST2010-174,25-Nov-10,Brewster
ST2010-175,25-Nov-10,Brewster
ST2010-179,25-Nov-10,Brewster
ST2010-181,25-Nov-10,Brewster
ST2010-144,21-Nov-10,Brewster
ST2010-145,21-Nov-10,Brewster
ST2010-151,21-Nov-10,Brewster
ST2010-140,19-Nov-10,Brewster
ST2010-113,8-Nov-10,Brewster
ST2010-114,8-Nov-10,Brewster
ST2010-115,8-Nov-10,Brewster
ST2010-116,8-Nov-10,Brewster
ST2010-117,8-Nov-10,Brewster
ST2010-112,3-Nov-10,Brewster
ST2010-111,2-Nov-10,Brewster
ST2010-340,30-Dec-10,Dennis
ST2010-331,15-Dec-10,Dennis
ST2010-311,9-Dec-10,Dennis
ST2010-273,5-Dec-10,Dennis
ST2010-274,5-Dec-10,Dennis
ST2010-275,5-Dec-10,Dennis
ST2010-278,5-Dec-10,Dennis
ST2010-279,5-Dec-10,Dennis
ST2010-280,5-Dec-10,Dennis
ST2010-281,5-Dec-10,Dennis
ST2010-260,4-Dec-10,Dennis
ST2010-261,4-Dec-10,Dennis
ST2010-262,4-Dec-10,Dennis
ST2010-264,4-Dec-10,Dennis
ST2010-266,4-Dec-10,Dennis
ST2010-267,4-Dec-10,Dennis
ST2010-268,4-Dec-10,Dennis
ST2010-269,4-Dec-10,Dennis
ST2010-271,4-Dec-10,Dennis
ST2010-250,3-Dec-10,Dennis
ST2010-251,3-Dec-10,Dennis
ST2010-252,3-Dec-10,Dennis
ST2010-253,3-Dec-10,Dennis
ST2010-254,3-Dec-10,Dennis
ST2010-256,3-Dec-10,Dennis
ST2010-259,3-Dec-10,Dennis
ST2010-248,2-Dec-10,Dennis
ST2010-246,30-Nov-10,Dennis
ST2010-236,29-Nov-10,Dennis
ST2010-239,29-Nov-10,Dennis
ST2010-240,29-Nov-10,Dennis
ST2010-241,29-Nov-10,Dennis
ST2010-242,29-Nov-10,Dennis
ST2010-207,28-Nov-10,Dennis
ST2010-212,28-Nov-10,Dennis
ST2010-214,28-Nov-10,Dennis
ST2010-215,28-Nov-10,Dennis
ST2010-216,28-Nov-10,Dennis
ST2010-217,28-Nov-10,Dennis
ST2010-230,28-Nov-10,Dennis
ST2010-231,28-Nov-10,Dennis
ST2010-234,28-Nov-10,Dennis
ST2010-235,28-Nov-10,Dennis
ST2010-191,27-Nov-10,Dennis
ST2010-192,27-Nov-10,Dennis
ST2010-195,27-Nov-10,Dennis
ST2010-197,27-Nov-10,Dennis
ST2010-200,27-Nov-10,Dennis
ST2010-201,27-Nov-10,Dennis
ST2010-202,27-Nov-10,Dennis
ST2010-183,26-Nov-10,Dennis
ST2010-184,26-Nov-10,Dennis
ST2010-185,26-Nov-10,Dennis
ST2010-159,25-Nov-10,Dennis
ST2010-168,25-Nov-10,Dennis
ST2010-169,25-Nov-10,Dennis
ST2010-171,25-Nov-10,Dennis
ST2010-172,25-Nov-10,Dennis
ST2010-177,25-Nov-10,Dennis
ST2010-158,24-Nov-10,Dennis
ST2010-146,21-Nov-10,Dennis
ST2010-137,14-Nov-10,Dennis
ST2010-118,11-Nov-10,Dennis
ST2010-121,11-Nov-10,Dennis
ST2010-122,11-Nov-10,Dennis
ST2010-338,22-Dec-10,Eastham
ST2010-334,17-Dec-10,Eastham
ST2010-330,15-Dec-10,Eastham
ST2010-323,12-Dec-10,Eastham
ST2010-314,11-Dec-10,Eastham
ST2010-315,11-Dec-10,Eastham
ST2010-293,8-Dec-10,Eastham
ST2010-294,8-Dec-10,Eastham
ST2010-286,7-Dec-10,Eastham
ST2010-287,7-Dec-10,Eastham
ST2010-288,7-Dec-10,Eastham
ST2010-289,7-Dec-10,Eastham
ST2010-290,7-Dec-10,Eastham
ST2010-292,7-Dec-10,Eastham
ST2010-285,6-Dec-10,Eastham
ST2010-276,5-Dec-10,Eastham
ST2010-249,2-Dec-10,Eastham
ST2010-204,28-Nov-10,Eastham
ST2010-205,28-Nov-10,Eastham
ST2010-229,28-Nov-10,Eastham
ST2010-182,25-Nov-10,Eastham
ST2010-155,24-Nov-10,Eastham
ST2010-107,24-Oct-10,Eastham
ST2010-106,23-Oct-10,Eastham
ST2010-247,1-Dec-10,Falmouth
ST2010-135,14-Nov-10,Nantucket
ST2010-324,12-Dec-10,Orleans
ST2010-319,11-Dec-10,Orleans
ST2010-295,8-Dec-10,Orleans
ST2010-284,6-Dec-10,Orleans
ST2010-190,27-Nov-10,Orleans
ST2010-187,26-Nov-10,Orleans
ST2010-160,25-Nov-10,Orleans
ST2010-176,25-Nov-10,Orleans
ST2010-178,25-Nov-10,Orleans
ST2010-180,25-Nov-10,Orleans
ST2010-156,24-Nov-10,Orleans
ST2010-152,21-Nov-10,Orleans
ST2010-142,20-Nov-10,Orleans
ST2010-336,18-Dec-10,Provincetown
ST2010-328,14-Dec-10,Provincetown
ST2010-329,14-Dec-10,Provincetown
ST2010-282,5-Dec-10,Provincetown
ST2010-154,22-Nov-10,Provincetown
ST2010-132,13-Nov-10,Sandwich
ST2010-133,13-Nov-10,Sandwich
ST2010-123,12-Nov-10,Sandwich
ST2010-327,14-Dec-10,Truro
ST2010-296,8-Dec-10,Truro
ST2010-157,24-Nov-10,Truro
ST2010-147,21-Nov-10,Truro
ST2010-299,8-Dec-10,Wareham
ST2010-335,17-Dec-10,Wellfleet
ST2010-325,12-Dec-10,Wellfleet
ST2010-326,12-Dec-10,Wellfleet
ST2010-313,11-Dec-10,Wellfleet
ST2010-316,11-Dec-10,Wellfleet
ST2010-317,11-Dec-10,Wellfleet
ST2010-320,11-Dec-10,Wellfleet
ST2010-322,11-Dec-10,Wellfleet
ST2010-302,9-Dec-10,Wellfleet
ST2010-303,9-Dec-10,Wellfleet
ST2010-305,9-Dec-10,Wellfleet
ST2010-306,9-Dec-10,Wellfleet
ST2010-310,9-Dec-10,Wellfleet
ST2010-297,8-Dec-10,Wellfleet
ST2010-283,5-Dec-10,Wellfleet
ST2010-213,28-Nov-10,Wellfleet
ST2010-220,28-Nov-10,Wellfleet
ST2010-221,28-Nov-10,Wellfleet
ST2010-222,28-Nov-10,Wellfleet
ST2010-198,27-Nov-10,Wellfleet
ST2010-203,27-Nov-10,Wellfleet
ST2010-189,26-Nov-10,Wellfleet
ST2010-148,21-Nov-10,Wellfleet
ST2010-149,21-Nov-10,Wellfleet
ST2010-150,21-Nov-10,Wellfleet
ST2010-141,20-Nov-10,Wellfleet
ST2010-143,20-Nov-10,Wellfleet
ST2010-139,18-Nov-10,Wellfleet
ST2010-128,12-Nov-10,Wellfleet
ST2010-108,28-Oct-10,Wellfleet
ST2010-136,14-Nov-10,Yarmouth
