ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
115420691,-69.860048042706168,42.030991462351274,10.83,0.47
115420691,-69.748510423281601,41.91832333166608,6.67,0.28
115420691,-69.55340092865103,41.826068403296503,2.74,0.12
115420691,-69.439929686633278,41.661993671918324,14.63,0.50
115420691,-69.222669759170429,41.544276015651612,10.44,0.31
115420691,-68.962079602156635,41.504736500831214,7.64,0.33
115420691,-68.905999309597448,41.467836282325557,10.66,0.29
115420691,-68.78729014773387,41.578734480246389,12.61,0.50
115420691,-68.568416113361323,41.583631921201324,18.11,0.55
115420691,-68.451700507699826,41.596511792809707,18.66,0.30
115420691,-68.105220213115032,41.821598596751031,3.76,0.06
115420691,-68.012310073837256,41.827886712511564,6.76,0.10
115420691,-67.852253984496102,41.831126275554823,7.00,0.10
115420691,-67.681784667731108,41.811615712015424,18.70,0.27
115420691,-67.674538647510005,41.852264278505992,13.94,0.21
115420691,-67.284863093262032,42.074090770623052,21.19,0.26
115420691,-67.19367772240544,42.001568344425372,22.59,0.30
115420691,-67.192272278497072,42.074558977101823,18.57,0.23
115420691,-67.174445535490946,42.099711768865966,16.28,0.20
115420691,-67.094177526289542,42.090531451012239,4.36,0.06
115420691,-66.690700057770769,42.125375573512116,4.83,0.11
115420691,-66.664415877314113,42.147263359626059,6.71,0.14
115420691,-66.52224245749413,42.102669700961506,5.19,0.13
115420691,-66.416719985048218,42.103611416233754,5.92,0.10
115420691,-66.208297289134094,41.842294287387304,14.15,0.32
115420691,-66.197746871399204,41.846982583580008,10.63,0.22
115420691,-66.296479875635086,41.774947865402055,9.59,0.15
115420691,-66.38808412593967,41.763400687555759,19.19,0.28
115420691,-66.347062085204101,41.532581075886206,4.22,0.10
115420691,-66.325563379644024,41.515229377363688,7.92,0.16
115430683,-69.901244872661721,42.992644307934718,8.09,0.46
115430683,-69.905831745938272,42.878173542588591,6.46,0.39
115430683,-69.854118106606748,42.822187539345748,3.43,0.16
115430683,-69.781682714700722,42.706665164684885,7.10,0.43
115430683,-69.731561301693461,42.636006894816418,3.49,0.21
115430683,-69.585924899839597,42.622027585223321,7.64,0.36
115430683,-69.649279853418236,42.44728697210676,3.10,0.17
115430683,-69.513052727293029,42.467132050536499,8.99,0.33
115430683,-69.330794727992767,42.4752509040962,6.29,0.27
115430683,-69.242854038516285,42.377044273985554,6.67,0.19
115430683,-69.266468244155533,42.388349951522009,8.75,0.51
115430683,-69.232516173816933,42.429296269403352,12.01,1.19
115430683,-69.194594023238125,42.430928325742521,1.25,0.08
115430683,-69.163314189486357,42.457996808346195,19.14,1.07
115430683,-69.111647204286655,42.566617018686969,10.86,0.51
115430683,-69.114963615404207,42.591026056923823,3.37,0.15
115430683,-69.164169143925008,42.807270999041201,14.62,0.73
115430683,-69.272385693657412,42.752523750106022,6.32,0.26
115430683,-69.438155609368906,42.707634581416457,1.99,0.07
115430683,-69.466323522190095,42.719336040985681,3.35,0.19
115430683,-69.406003446299081,42.719636211127579,7.72,0.30
115430683,-69.32767316901446,42.745782712070827,1.94,0.06
115430683,-69.247898726248081,42.712997163979914,6.38,0.17
115430683,-69.264852434413527,42.651284274336938,10.78,0.32
115430683,-69.35160307531963,42.664953903038942,5.70,0.25
115430683,-69.351049200590154,42.671700988105357,11.10,0.24
115430683,-69.488921667751725,42.683074103274045,12.76,0.42
115430683,-69.734839348101559,42.776109389769957,0.95,0.05
115430683,-69.741141311790386,42.798109338622922,3.41,0.16
115430683,-69.72860101699527,42.750220910958326,2.29,0.13
115430683,-69.734275855295564,42.73741502609014,1.24,0.07
115430683,-69.686810028375035,42.723246967874871,4.13,0.23
115430683,-69.63617681915909,42.665107551354019,8.72,0.37
115430683,-69.696030861698361,42.595883900525529,4.43,0.31
115430683,-69.379125663131646,42.665456259743962,3.78,0.15
115430683,-69.280250312203208,42.623446064539898,8.65,0.21
115430683,-69.334730639582943,42.612557896041039,12.74,0.44
115430683,-69.328171726946152,42.663348199450517,3.58,0.12
115430683,-69.316149839092262,42.651165228614929,15.30,0.57
115430683,-68.869908584334667,42.717744221115254,18.00,0.62
115430683,-68.67567511214429,42.613662363121755,2.16,0.08
115430683,-68.769441900814442,42.601824393619154,15.65,0.72
115430684,-69.969893408020283,42.281043287582726,18.29,0.51
115430684,-69.676625974577064,42.272189653852024,18.61,0.61
115430684,-69.33939925868907,42.265989102892568,13.30,0.43
115430684,-69.198262285307052,42.309010240298896,4.34,0.18
115430684,-69.179683166908035,42.342384401224834,20.82,0.68
115430684,-68.942008779743404,42.471833807146247,10.77,0.36
115430684,-68.846040146638984,42.442320001200677,6.62,0.23
115430684,-68.744216943363497,42.410187075750784,5.34,0.18
115430684,-68.819320754763865,42.353580745208788,3.05,0.23
115430684,-68.798235607736672,42.351542569226162,10.71,0.64
115430684,-68.739848653326902,42.38387370083985,4.06,0.27
115430684,-68.674223203860592,42.376577918207325,15.64,0.62
115430684,-68.732904129229027,42.513687376284643,2.82,0.13
115430684,-68.870896301151589,42.399481872496871,8.18,0.30
115430684,-68.92504625472472,42.291622679529809,5.67,0.19
115430684,-68.819315984740442,42.272166869530118,7.28,0.30
115430684,-68.681328186619808,42.266613679793998,8.63,0.30
115430684,-68.348321400658918,42.291533747961317,1.57,0.05
115430684,-68.279636818877066,42.273371707791881,7.70,0.17
115430684,-68.210847880118607,42.346499692699354,2.48,0.07
115430684,-68.168420925116479,42.488946920912056,11.34,0.47
115430684,-68.200578580193365,42.523628715463715,10.52,0.31
115430684,-68.056105379624526,42.503194419625018,11.69,0.52
115430684,-67.931920006195483,42.481626355019714,9.73,0.31
115430684,-67.815625206614286,42.468364684908536,18.76,0.53
115430684,-67.597965956012047,42.483245844619567,18.22,0.57
115430684,-67.116314331546079,42.318373230355299,20.01,0.45
115430684,-66.841471742152166,42.322741707791778,15.40,0.55
115430684,-66.616045484289657,42.401695318943844,18.03,0.52
115430684,-66.591614801841871,42.549375953254795,12.03,0.22
115430684,-66.481900938595956,42.600622895807994,5.69,0.07
115430684,-66.473379421968573,42.678502475990896,23.85,0.43
115430684,-66.335203738069907,42.87580234087865,10.64,0.22
115430684,-66.253099148986422,42.728091535907637,25.10,0.72
115430684,-66.210482753793116,42.690808134138727,17.02,0.29
115430684,-66.103516188879681,42.722911201530685,12.53,0.28
115430684,-65.970746043391415,42.765285211546249,20.16,0.44
115430684,-65.821308128543734,42.92703678370119,6.88,0.16
115430684,-65.748399333672822,42.936977766900462,8.26,0.24
115430684,-65.735476061821515,42.844329914171176,17.55,0.56
115430684,-65.891955940778587,42.903494624594444,31.58,0.69
115430684,-66.146198462130144,42.929602496913688,16.32,0.37
115430684,-66.171957845658952,42.972046400747004,15.83,0.32
115430684,-66.480067685769356,42.912331973177238,13.41,0.36
115430684,-66.655986841666731,42.915585950670945,16.89,0.41
115430686,-69.331770498247479,42.247717826491545,11.97,0.60
115430686,-69.276433800892505,42.175617302974906,14.57,0.54
115430686,-68.801390848794469,42.150316821522615,7.29,0.13
115430686,-68.719511949260934,42.113828865590087,10.68,0.25
115430686,-68.725541494920762,42.181320232382525,14.70,0.36
115430686,-68.549018018251331,42.150599794484762,17.54,0.37
115430686,-68.53384331994279,42.013325116643308,11.35,0.25
116420708,-69.736895139474797,42.6475812239673,3.35,0.17
116420708,-69.64355997562663,42.615764124170518,8.53,0.36
116420708,-69.475327764502936,42.627784757560981,8.60,0.40
116420708,-69.497185961886572,42.681304515071105,12.22,0.42
116440672,-69.993484816842582,42.995483640034422,15.26,0.58
116440672,-69.849924468885376,42.901521346330867,6.93,0.28
116440672,-69.779315477307691,42.836672341545345,5.89,0.20
116440672,-69.853200150768515,42.808471406533855,4.78,0.43
116440672,-69.82694922314144,42.75605116755429,2.88,0.16
116440672,-69.80227334066133,42.685779919893832,10.12,0.55
117440673,-68.859750793616158,42.98755153545271,13.35,0.55
117440673,-68.906041748939856,42.891068380156867,23.25,0.88
117440673,-68.684659346605727,42.813984547169959,5.21,0.25
117440673,-68.625227665293878,42.783721687841094,5.69,0.31
118440677,-68.764887159036093,42.9803108063414,16.96,0.69
118440677,-68.662753767941595,42.802078875863153,20.13,0.63
118440677,-68.880587301244489,42.654814766881891,11.95,0.36
118440677,-68.884954650115617,42.578342605963549,21.97,0.60
118440677,-68.578785303762217,42.612648409267152,4.07,0.16
118440677,-68.45556213365704,42.620935119989639,24.99,0.83
118440677,-68.444081823368791,42.783824466264349,7.27,0.39
118440677,-68.473436239874474,42.851482547420183,4.74,0.18
118440677,-68.34167558708296,42.837377528166357,17.37,0.43
118440677,-68.177486934800399,42.844603669324286,27.58,0.85
118440677,-67.916875793880521,42.752017962056833,9.59,0.31
118440677,-68.456076294139976,42.279654392027183,10.11,0.21
118440677,-68.499253223565333,42.420390554679393,22.80,0.63
137410702,-69.900309321061926,41.946464094541625,4.22,0.14
137410702,-69.769979981613659,41.779697031571629,2.28,0.11
137410702,-69.693567073150206,41.746146745153688,8.25,0.36
137410702,-69.475267185623295,41.594469890972,8.42,0.25
137410702,-69.43995444943269,41.54839650206155,11.70,0.30
137410702,-69.332362423393349,41.537101142235308,22.36,0.82
137410702,-68.599943123443083,41.250197889170536,29.29,0.50
137410702,-68.379777562014951,41.396765867496157,16.17,0.29
137410702,-66.955872290851929,41.869537805896215,3.02,0.04
