Turtle ID,Observation Date,Observation Town
ST1999-294,24-Dec-99,Barnstable
ST1999-284,22-Dec-99,Barnstable
ST1999-285,22-Dec-99,Barnstable
ST1999-286,22-Dec-99,Barnstable
ST1999-287,22-Dec-99,Barnstable
ST1999-261,12-Dec-99,Barnstable
ST1999-262,12-Dec-99,Barnstable
ST1999-248,9-Dec-99,Barnstable
ST1999-240,5-Dec-99,Barnstable
ST1999-236,4-Dec-99,Barnstable
ST1999-237,4-Dec-99,Barnstable
ST1999-228,3-Dec-99,Barnstable
ST1999-229,3-Dec-99,Barnstable
ST1999-230,3-Dec-99,Barnstable
ST1999-232,3-Dec-99,Barnstable
ST1999-196,1-Dec-99,Barnstable
ST1999-291,23-Dec-99,Bourne
ST1999-327,30-Dec-99,Brewster
ST1999-321,28-Dec-99,Brewster
ST1999-311,27-Dec-99,Brewster
ST1999-306,26-Dec-99,Brewster
ST1999-299,25-Dec-99,Brewster
ST1999-293,24-Dec-99,Brewster
ST1999-283,21-Dec-99,Brewster
ST1999-281,19-Dec-99,Brewster
ST1999-272,15-Dec-99,Brewster
ST1999-273,15-Dec-99,Brewster
ST1999-271,13-Dec-99,Brewster
ST1999-263,12-Dec-99,Brewster
ST1999-264,12-Dec-99,Brewster
ST1999-266,12-Dec-99,Brewster
ST1999-245,8-Dec-99,Brewster
ST1999-246,8-Dec-99,Brewster
ST1999-238,5-Dec-99,Brewster
ST1999-233,4-Dec-99,Brewster
ST1999-222,3-Dec-99,Brewster
ST1999-231,3-Dec-99,Brewster
ST1999-209,2-Dec-99,Brewster
ST1999-215,2-Dec-99,Brewster
ST1999-216,2-Dec-99,Brewster
ST1999-217,2-Dec-99,Brewster
ST1999-218,2-Dec-99,Brewster
ST1999-219,1-Dec-99,Brewster
ST1999-189,30-Nov-99,Brewster
ST1999-176,20-Nov-99,Brewster
ST1999-276,16-Dec-99,Chatham
ST1999-183,27-Nov-99,Dartmouth
ST1999-325,29-Dec-99,Dennis
ST1999-326,29-Dec-99,Dennis
ST1999-303,26-Dec-99,Dennis
ST1999-304,26-Dec-99,Dennis
ST1999-305,26-Dec-99,Dennis
ST1999-302,25-Dec-99,Dennis
ST1999-292,24-Dec-99,Dennis
ST1999-298,24-Dec-99,Dennis
ST1999-275,15-Dec-99,Dennis
ST1999-270,13-Dec-99,Dennis
ST1999-267,12-Dec-99,Dennis
ST1999-268,12-Dec-99,Dennis
ST1999-250,10-Dec-99,Dennis
ST1999-244,8-Dec-99,Dennis
ST1999-234,4-Dec-99,Dennis
ST1999-235,4-Dec-99,Dennis
ST1999-223,3-Dec-99,Dennis
ST1999-224,3-Dec-99,Dennis
ST1999-225,3-Dec-99,Dennis
ST1999-226,3-Dec-99,Dennis
ST1999-227,3-Dec-99,Dennis
ST1999-205,2-Dec-99,Dennis
ST1999-206,2-Dec-99,Dennis
ST1999-208,2-Dec-99,Dennis
ST1999-211,2-Dec-99,Dennis
ST1999-212,2-Dec-99,Dennis
ST1999-213,2-Dec-99,Dennis
ST1999-214,2-Dec-99,Dennis
ST1999-221,2-Dec-99,Dennis
ST1999-190,1-Dec-99,Dennis
ST1999-191,1-Dec-99,Dennis
ST1999-192,1-Dec-99,Dennis
ST1999-193,1-Dec-99,Dennis
ST1999-194,1-Dec-99,Dennis
ST1999-195,1-Dec-99,Dennis
ST1999-197,1-Dec-99,Dennis
ST1999-198,1-Dec-99,Dennis
ST1999-199,1-Dec-99,Dennis
ST1999-200,1-Dec-99,Dennis
ST1999-201,1-Dec-99,Dennis
ST1999-202,1-Dec-99,Dennis
ST1999-204,1-Dec-99,Dennis
ST1999-210,1-Dec-99,Dennis
ST1999-301,25-Dec-99,East Dennis
ST1999-319,28-Dec-99,Eastham
ST1999-308,27-Dec-99,Eastham
ST1999-312,27-Dec-99,Eastham
ST1999-313,27-Dec-99,Eastham
ST1999-300,25-Dec-99,Eastham
ST1999-289,23-Dec-99,Eastham
ST1999-278,18-Dec-99,Eastham
ST1999-257,12-Dec-99,Eastham
ST19999-258,12-Dec-99,Eastham
ST1999-251,11-Dec-99,Eastham
ST1999-253,11-Dec-99,Eastham
ST1999-254,11-Dec-99,Eastham
ST1999-255,11-Dec-99,Eastham
ST1999-241,8-Dec-99,Eastham
ST1999-314,27-Dec-99,Orleans
ST1999-315,27-Dec-99,Orleans
ST1999-282,19-Dec-99,Orleans
ST1999-259,12-Dec-99,Orleans
ST1999-183,27-Nov-99,Orleans
ST1999-175,20-Nov-99,Orleans
ST1999-239,5-Dec-99,Provincetown
ST1999-180,24-Nov-99,provincetown
ST1999-324,29-Dec-99,Truro
ST1999-316,28-Dec-99,Truro
ST1999-320,28-Dec-99,Truro
ST1999-323,28-Dec-99,Truro
ST1999-309,27-Dec-99,Truro
ST1999-288,22-Dec-99,Truro
ST1999-265,12-Dec-99,Truro
ST1999-252,11-Dec-99,Truro
ST1999-187,30-Nov-99,Truro
ST1999-182,25-Nov-99,Truro
ST1999-178,21-Nov-99,Truro
ST1999-317,28-Dec-99,Wellfleet
ST1999-318,28-Dec-99,Wellfleet
ST1999-322,28-Dec-99,Wellfleet
ST1999-295,24-Dec-99,Wellfleet
ST1999-296,24-Dec-99,Wellfleet
ST1999-297,24-Dec-99,Wellfleet
ST1999-290,23-Dec-99,Wellfleet
ST1999-279,18-Dec-99,Wellfleet
ST1999-280,18-Dec-99,Wellfleet
ST1999-277,17-Dec-99,Wellfleet
ST1999-274,15-Dec-99,Wellfleet
ST1999-269,13-Dec-99,Wellfleet
ST1999-249,10-Dec-99,Wellfleet
ST1999-247,9-Dec-99,Wellfleet
