Turtle ID,Observation Date,Observation Town
ST2007-82,26-Dec-07,Brewster
ST2007-78,8-Dec-07,Brewster
ST2007-75,5-Dec-07,Brewster
ST2007-70,1-Dec-07,Brewster
ST2007-57,24-Nov-07,Brewster
ST2007-58,24-Nov-07,Brewster
ST2007-59,24-Nov-07,Brewster
ST2007-60,24-Nov-07,Brewster
ST2007-46,12-Nov-07,Brewster
ST2007-47,12-Nov-07,Brewster
ST2007-43,11-Nov-07,Brewster
ST2006-111,9-Jan-07,Brewster
ST2007-79,9-Dec-07,Dennis
ST2007-72,2-Dec-07,Dennis
ST2007-73,2-Dec-07,Dennis
ST2007-61,24-Nov-07,Dennis
ST2007-44,11-Nov-07,Dennis
ST2007-45,11-Nov-07,Dennis
ST2007-76,7-Dec-07,Eastham
ST2007-77,7-Dec-07,Eastham
ST2007-71,1-Dec-07,Eastham
ST2007-56,24-Nov-07,Eastham
ST2006-113,10-Jan-07,Eastham
ST2007-54,22-Nov-07,Nantucket
ST2007-74,4-Dec-07,Orleans
ST2007-48,15-Nov-07,Orleans
ST2007-80,9-Dec-07,Truro
ST2007-69,1-Dec-07,Truro
ST2007-66,30-Nov-07,Truro
ST2007-64,28-Nov-07,Truro
ST2007-63,27-Nov-07,Truro
ST2007-62,26-Nov-07,Truro
ST2007-50,17-Nov-07,Truro
ST2007-51,17-Nov-07,Truro
ST2007-81,19-Dec-07,Wellfleet
ST2007-67,1-Dec-07,Wellfleet
ST2007-65,30-Nov-07,Wellfleet
ST2007-68,30-Nov-07,Wellfleet
ST2007-55,23-Nov-07,Wellfleet
ST2007-52,19-Nov-07,Wellfleet
ST2007-53,19-Nov-07,Wellfleet
ST2006-114,16-Jan-07,Wellfleet
ST2006-112,9-Jan-07,Wellfleet
