Turtle ID,Observation Date,Observation Town
ST1991-06,21-Sep-91,Barnstable
ST1991-19,16-Dec-91,Brewster
ST1991-13,8-Dec-91,Brewster
ST1991-11,6-Dec-91,Brewster
ST1991-08,20-Nov-91,Chatham
ST1991-04,23-Jul-91,Craigville
ST1991-05,28-Jul-91,Cuttyhunk Island
ST1991-03,22-Jul-91,Naushon Island
ST1991-18,15-Dec-91,Provincetown
ST1991-17,13-Dec-91,Provincetown
ST1991-21,18-Dec-91,Truro
ST1991-20,17-Dec-91,Truro
ST1991-15,8-Dec-91,Truro
ST1991-09,28-Nov-91,Truro
ST1991-16,13-Dec-91,Wellfleet
ST1991-14,8-Dec-91,Wellfleet
ST1991-12,6-Dec-91,Wellfleet
ST1991-10,29-Nov-91,Wellfleet
ST1991-07,27-Nov-91,Wellfleet
ST1991-05A,13-Sep-91,
