Turtle ID,Observation Date,Observation Town
ST1992-31,10-Dec-92,Barnstable
ST1992-37,15-Dec-92,Brewster
ST1992-36,15-Dec-92,Brewster
ST1992-28,10-Dec-92,Brewster
ST1992-27,9-Dec-92,Brewster
ST1992-10,7-Nov-92,Brewster
ST1992-09,27-Oct-92,Brewster
ST1992-32,10-Dec-92,Dennis
ST1992-25,8-Dec-92,Dennis
ST1992-23,8-Dec-92,Dennis
ST1992-16,6-Dec-92,Dennis
ST1992-13,20-Nov-92,Dennis
ST1992-12,20-Nov-92,Dennis
ST1992-08,22-Oct-92,Duxbury
ST1992-30,10-Dec-92,East Dennis
ST1992-29,10-Dec-92,Eastham
ST1992-26,9-Dec-92,Eastham
ST1992-19,7-Dec-92,Eastham
ST1992-34,13-Dec-92,Ellisville
ST1992-14,20-Nov-92,Orleans
ST1992-35,14-Dec-92,Sandwich
ST1992-33,13-Dec-92,Sandwich
ST1992-24,8-Dec-92,Truro
ST1992-22,8-Dec-92,Truro
ST1992-11,16-Nov-92,Truro
ST1992-20,8-Dec-92,Wellfleet
ST1991-22,12-Jan-92,Wellfleet
ST1992-21,8-Dec-92,
ST1992-18,7-Dec-92,
ST1992-17,7-Dec-92,
